modele,prix,date_loc,info
,,,
,,,
,,,
,,,
NC,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
34 900 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
9 950 €,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
5 000 €,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
4 900 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
4 900 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
15 900 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
15 899 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
14 999 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
6 700 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
15 250 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
15 999 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
18 999 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
14 999 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
18 499 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
18 500 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
16 900 €,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
17 499 €,,,
,,,
,,,
,,,
,,,
,,,
prix initial :,,,
,,,
12 500 €,,,
,,,
,,,
,,,
,,,
,,,
,,,
NC,,,
,,,
,,"
                                                         17.11.2023
                                                                                                   
                                                                
                                                                 PAYS-BAS
                            
                                                                  
                        

                            Détail
                        
                                            ","

                        
                        
                            
                                DIESEL
                            
                                                        
                                94 960 Km
                            
                                                        
                                1971
                            
                            
                                MANUELLE
                            
                            
                                9104
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ
                                                                                                            
                        

                        
                    "
BmwX12.0,,,
OpelAstra1.6,,,
KiaCeed1.4EDITION 7prix initial : 13 800,,,
KiaCeed sw1.6SPIRITprix initial : 22 150,,,
Fiat500Hybrid1.0LOUNGE,,,
Audi1002.3,,,
KiaCeed sw1.6SPIRITprix initial : 22 050,,,
HyundaiI301.4N LINE,,,
KiaXceed1.6,,,
KiaXceed1.6prix initial : 20 150,,,
KiaCeed sw1.4GT LINE,,,
FordKuga2.0ST LINE4X2,,,
BmwSerie 5 touring520prix initial : 25 890,,,
Trabant6010.6,,,
KiaXceed1.4,,,
FordKuga2.5TITANIUMprix initial : 26 400,,,
FordKuga1.5TITANIUM4X2prix initial : 16 900,,,
KiaStonic1.2EDITION 7,,,
HyundaiTucson1.6STYLE,,,
Fiat500prix initial : 8 000,,,
Fiat500c0.9,,,
SkodaYeti1.4AMBITION,,,
Land roverDiscovery sportTd42.0PURE,,,
KiaCeed1.4EDITION 7,,,
HyundaiI301.4,, 16.11.2023 ALLEMAGNEDétail,ESSENCE72 767 Km2019MANUELLE18546DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OpelMeriva,,,
BmwSerie 3 touring320d xdriveBUSINESS,,,
RenaultTrafic,,,
VolkswagenGolf swR2.0PERFORMANCEprix initial : 35 900,,,
JeepWranglerUnlimited2.8prix initial : 45 000,,,
AudiA3 sportback40 tdi2.0S LINEQUATTROprix initial : 24 900,,,
AudiA3 sportback40 tdi2.0SPORTQUATTRO,,,
AudiA4prix initial : 3 800,,,
VolvoV90 cross country2.0PLUSAWDprix initial : 49 900,,,
IvecoDaily353.0,,,
VolkswagenPoloGti1.4,,,
VolkswagenGolf1.8,,,
IvecoDaily3.0,,,
MercedesClasse aA 1801.6prix initial : 12 900,,,
VolkswagenTransporterT52.0prix initial : 18 600,,,
SuzukiS-cross1.4COMFORTprix initial : 27 669,,,
SubaruForester2.0,,,
AudiA6 avant40 tdi2.0SPORTprix initial : 38 500,,,
AustinFx4prix initial : 32 000,,,
CitroenC4 spacetourer1.2SELECTIONprix initial : 14 500,,,
MercedesSprinter316,,,
VolkswagenGolf1.5UNITEDprix initial : 23 900,,,
KiaCeed1.4,,,
RoverMini1.3prix initial : 11 900,,,
MercedesClasse sl450 slprix initial : 42 000,, 29.06.2023 ALLEMAGNEDétail,ESSENCE109 780 Km1980AUTOMATIQUE18609DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
ChevroletChevelleV8 6.5prix initial : 59 000,,,
AudiA4 avant2.0prix initial : 19 900,,,
SuzukiS-cross1.4COMFORTprix initial : 25 490,,,
SmartForfour1.0,,,
BmwSerie 44353.0,,,
OpelCrossland x,,,
CitroenBerlingoprix initial : 8 990,,,
VolkswagenGolf1.4CONFORTLINE,,,
SubaruOutback2.5,,,
AudiQ7V6 3.0QUATTROprix initial : 42 800,,,
Man truckMan tge,,,
HyundaiH12.5,,,
DaciaDuster1.2PRESTIGE4X2,,,
NissanPulsar1.2ACENTAprix initial : 8 299,,,
VolkswagenGolf sw,,,
RenaultTwingo1.2DYNAMIQUE,,,
BmwSerie 3 touring320,,,
VolvoV501.6,,,
FordEcosportprix initial : 9 400,,,
SkodaOctavia combi,,,
KiaPicanto1.1,,,
BmwSerie 33202.0,,,
SuzukiVitara1.0COMFORT,,,
FordEcosport1.5TRENDprix initial : 8 900,,,
VolkswagenGolf1.5HIGHLINE,, 16.11.2023 ALLEMAGNEDétail,ESSENCE130 000 Km2019AUTOMATIQUE18609DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HondaCivic1.8SPORT,,,
VolkswagenPolo,,,
AudiA4 avant2.0prix initial : 25 000,,,
MercedesCla shooting brakeCla 180prix initial : 27 000,,,
VolkswagenTouran,,,
MercedesClasse glGl 320prix initial : 11 999,,,
Trabant6010.6,,,
AudiA4 cabrioletS4V6 3.0prix initial : 7 350,,,
BmwX530d3.0prix initial : 14 999,,,
VolkswagenTouaregprix initial : 22 450,,,
AudiQ52.0S LINEQUATTROprix initial : 14 400,,,
FiatPunto evo1.4DYNAMIC,,,
OpelAstra1.6SELECTIONprix initial : 1 500,,,
BmwSerie 5,,,
AudiA6 avantRs6,,,
MercedesVito,,,
FiatPandaS,,,
FiatPanda1.1,,,
FiatPanda1.1ACTIVE,,,
FiatPanda1.1ACTIVE,,,
AudiA4 cabrioletS4V6 3.0,,,
MercedesClasse sS 500,,,
OpelAstra sports tourer1.5SPORTprix initial : 24 490,,,
SkodaOctavia1.5STYLE,,,
MercedesClasse aA 250AMG LINE4MATICprix initial : 39 900,, 21.01.2022 ALLEMAGNEDétail,ESSENCE33 000 Km2019AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OpelGrandland x1.2EDITION,,,
OpelGrandland x1.6ULTIMATEprix initial : 41 990,,,
OpelInsignia grand sport2.0BUSINESS INNOVATIONprix initial : 22 900,,,
OpelAstra1.2EDITION,,,
OpelAstra sports tourer1.5SPORTprix initial : 28 900,,,
OpelAstra sports tourer1.5SPORTprix initial : 32 590,,,
SmartForfour1.0PASSIONprix initial : 13 990,,,
SkodaFabia1.0AMBITION,,,
MazdaMx51.5prix initial : 19 900,,,
AudiA130 tfsi1.0prix initial : 24 490,,,
VolkswagenPolo1.0LIFEprix initial : 22 990,,,
VolkswagenPolo1.0LIFEprix initial : 22 990,,,
NissanQashqai1.3VISIAprix initial : 22 650,,,
SkodaFabia1.0ACTIVE,,,
SmartForfourPASSIONprix initial : 15 990,,,
MercedesClasse bB 180,,,
MercedesClasse aA 1801.3,,,
HyundaiKonaTRENDprix initial : 38 170,,,
AudiA3 sportbackE-tron1.4prix initial : 31 990,,,
VolkswagenTouran2.0prix initial : 22 900,,,
SkodaKodiaq1.5,,,
VolkswagenTouaregV6 3.0prix initial : 8 799,,,
OpelGrandland x1.2GS LINEprix initial : 35 900,,,
FiatTipo1.0,,,
NissanQashqai1.3VISIAprix initial : 29 890,, 11.02.2022 ALLEMAGNEDétail,ESSENCE120 Km2022MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
SubaruOutback2.0prix initial : 4 199,,,
BmwSerie 5 touring520prix initial : 38 900,,,
SkodaScala1.0,,,
OpelAstra1.2ELEGANCEprix initial : 29 890,,,
VolkswagenTouran2.0CONFORTLINEprix initial : 10 699,,,
HondaJazzprix initial : 2 800,,,
FordPuma1.0TITANIUM,,,
FordFocus societe1.0COOL & CONNECT,,,
OpelCrossland x1.2ELEGANCEprix initial : 32 700,,,
SkodaKamiq1.0MONTE CARLOprix initial : 27 990,,,
OpelAstra1.2ELEGANCEprix initial : 31 060,,,
MiniCabrioCooper1.5prix initial : 28 900,,,
AudiA4 avant40 tfsi2.0prix initial : 43 490,,,
MercedesCla shooting brakeCla 200,,,
MercedesCla shooting brakeCla 200prix initial : 21 890,,,
OpelAstra1.6GS LINEprix initial : 38 900,,,
MercedesClasse bB 200prix initial : 29 800,,,
SkodaFabia1.0AMBITION,,,
HyundaiKonaTREND,,,
SkodaKamiq1.0AMBITIONprix initial : 25 490,,,
NissanQashqai1.3prix initial : 24 590,,,
NissanX-trail1.6VISIAprix initial : 18 450,,,
NissanX-trail2.0N CONNECTA4X4prix initial : 21 490,,,
VolkswagenTransporterT52.5prix initial : 7 699,,,
HyundaiTucson1.6PREMIUM,, 30.07.2022 ALLEMAGNEDétail,ESSENCE24 900 Km2017MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OpelAstraPhev1.6GS LINEprix initial : 38 900,,,
NissanQashqai1.3TEKNA,,,
MiniCountrymanCooper se1.5ALL4prix initial : 27 900,,,
BmwSerie 4 gran coupe4202.0,,,
BmwSerie 4 gran coupe4202.0prix initial : 20 990,,,
BmwX1Sdrive 20i2.0EDITION AVANTAGEprix initial : 32 490,,,
OpelInsignia sports tourer1.5SPORTprix initial : 35 500,,,
MercedesGle coupe 43 amgV6 3.04MATICprix initial : 65 900,,,
HyundaiI301.0TRENDprix initial : 22 950,,,
HyundaiI30N performance2.0prix initial : 41 450,,,
SkodaScala1.5AMBITION,,,
SkodaOctavia combiRs2.0,,,
SkodaKaroq1.5CLEVER,,,
SkodaSuperb combi2.0STYLEprix initial : 28 990,,,
AudiA4 avant2.0S LINEprix initial : 44 700,,,
HyundaiI301.0TRENDprix initial : 23 850,,,
ToyotaYaris1.5prix initial : 24 990,,,
OpelMokka-eprix initial : 32 900,,,
HyundaiI101.0prix initial : 15 990,,,
NissanMicra1.0N DESIGN,,,
VolkswagenTransporterT62.0HIGHLINE4MOTION,,,
HyundaiI101.0prix initial : 15 990,,,
AudiA1 sportback30 tfsi1.0prix initial : 25 900,,,
NissanQashqai1.6VISIAprix initial : 8 490,,,
BmwSerie 3 gt3202.0SPORTprix initial : 20 500,, 07.10.2022 ALLEMAGNEDétail,DIESEL114 585 Km2014MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FordTransit1.5prix initial : 14 989,,,
AudiA640 tdi2.0,,,
OpelCombo lifeULTIMATEprix initial : 41 990,,,
BmwX540e2.0prix initial : 39 450,,,
BmwSerie 2 active tourer218,,,
HyundaiI301.5prix initial : 25 940,,,
BmwSerie 3 touring320M SPORT,,,
BmwSerie 2 active tourer218EDITION AVANTAGEprix initial : 16 890,,,
BmwSerie 3 touring320SPORT,,,
FordPuma1.0TITANIUM,,,
SkodaKaroq1.5AMBITIONprix initial : 31 990,,,
NissanAriya,,,
HyundaiKona1.6TREND,,,
MiniMiniCooper s2.0,,,
VolkswagenGolf1.9,,,
OpelZafira2.0EDITIONprix initial : 43 900,,,
MazdaCx-32.0SPORT4X4,,,
HyundaiTucson1.6prix initial : 47 290,,,
Fiat5001.2LOUNGE,,,
AudiA5 sportback3.0QUATTROprix initial : 28 490,,,
AudiQ235 tfsi1.5prix initial : 34 950,,,
HyundaiI301.0prix initial : 22 950,,,
SkodaSuperb combi2.0SPORTLINE,,,
MercedesClasse c breakC 250AVANTGARDEprix initial : 23 900,,,
NissanMicra1.0TEKNA,, 01.12.2022 ALLEMAGNEDétail,ESSENCE7 000 Km2022AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MiniMiniCooper1.3sponsorisée,,,
OpelGrandland x1.5prix initial : 29 890,,,
MercedesClasse gleGle 300AMG LINE4MATIC,,,
BmwX3Xdrive 20d2.0XLINE,,,
VolkswagenTiguan1.4SOUND,,,
FordKuga2.0COOL & CONNECT,,,
BmwSerie 5 touring520SPORTprix initial : 22 500,,,
NissanMicra1.0TEKNA,,,
HyundaiI201.0prix initial : 17 950,,,
HyundaiI301.0prix initial : 22 950,,,
FordEcosport1.0ST LINE,,,
OpelCorsa1.2ELEGANCEprix initial : 24 560,,,
SkodaKaroq1.0AMBITIONprix initial : 30 990,,,
BmwSerie 5525LUXURY,,,
NissanMicra1.0SPORT,,,
NissanQashqai1.3N CONNECTA,,,
NissanQashqai1.3N CONNECTA,,,
SkodaScala1.0,,,
SkodaScala1.0ACTIVE,,,
HyundaiI301.0TRENDprix initial : 22 490,,,
HyundaiI30 fastback1.5N LINE,,,
Peugeot2081.2ALLUREprix initial : 25 250,,,
VolvoV902.0R DESIGN,,,
BmwSerie 5 touring530M SPORTprix initial : 39 900,,,
BmwX53.0SPORTprix initial : 46 900,,,
VolkswagenCrafter2.0prix initial : 16 999,,,
MiniMiniCooper1.3sponsorisée,, 17.11.2023 ESPAGNEDétail,ESSENCE26 000 Km1998MANUELLE28003DEVIS ASSURANCEVENDEZ
MercedesClasse s280 sesponsorisée,,,
BmwSerie 5 touring530SPORTprix initial : 39 900,,,
VolkswagenGolf sw2.0HIGHLINE4MOTIONprix initial : 12 999,,,
VolkswagenGolf sw2.0HIGHLINE4MOTION,,,
HyundaiKonaprix initial : 26 490,,,
SkodaFabia1.2prix initial : 5 799,,,
HyundaiI30N performance2.0prix initial : 43 950,,,
HyundaiTucson1.6,,,
HyundaiStaria2.2SIGNATUREprix initial : 51 460,,,
AudiA4 allroad40 tdi2.0prix initial : 47 850,,,
HyundaiI101.0prix initial : 17 260,,,
BmwSerie 2230SPORT,,,
HyundaiIx201.4SEprix initial : 14 990,,,
NissanQashqaiE-power1.5N CONNECTAprix initial : 42 900,,,
AudiA6 avant40 tdi2.0SPORTprix initial : 49 950,,,
ToyotaAygo1.0BUSINESSprix initial : 14 590,,,
AudiA4 avantV6 3.0S LINEQUATTROprix initial : 35 950,,,
AudiQ335 tfsi1.5prix initial : 41 450,,,
HyundaiKonaN2.0prix initial : 41 510,,,
AudiQ750 tdiV6 3.0S LINEprix initial : 79 950,,,
HyundaiIoniq 5prix initial : 61 350,,,
AudiA6 avant3.0prix initial : 22 299,,,
AudiA63.0prix initial : 22 299,,,
AudiQ3 sportback35 tfsi1.5,,,
VolkswagenCrafter2.0prix initial : 16 499,,,
NissanQashqaiE-power1.5N CONNECTA,,,
MercedesClasse s280 sesponsorisée,, 08.11.2023 ALLEMAGNEDétail,ESSENCE94 436 Km1969AUTOMATIQUE-DEVIS ASSURANCEVENDEZ
NissanX-trailE-power1.5N CONNECTA4X4prix initial : 48 390,,,
SkodaKaroq1.0AMBITIONprix initial : 29 540,,,
HyundaiI301.4CLASSICprix initial : 7 999,,,
BmwX530d3.0M SPORTprix initial : 68 000,,,
AudiQ335 tdi2.0QUATTRO,,,
ChevroletAveo1.4LT,,,
AudiQ21.6SPORTprix initial : 21 450,,,
MazdaCx-30Skyactiv g2.0,,,
MiniMiniOne1.5,,,
SkodaOctavia1.0prix initial : 14 890,,,
BmwSerie 2 active tourer220,,,
HyundaiI301.0TREND,,,
OpelCombo1.5prix initial : 16 999,,,
SkodaKaroq1.6STYLEprix initial : 27 490,,,
HyundaiIoniq 5prix initial : 45 990,,,
ToyotaLand cruiser2.8prix initial : 82 460,,,
FordFocus sw1.0COOL & CONNECT,,,
NissanQashqai1.2ACENTA,,,
NissanJuke1.0TEKNA,,,
NissanX-trail2.0SE4X4prix initial : 16 490,,,
BmwX550iprix initial : 54 999,,,
SkodaOctavia scout2.0SCOUTprix initial : 23 990,,,
OpelMokka-eEDITION,,,
OpelGrandland x1.2INNOVATIONprix initial : 18 990,,,
AudiQ3 sportback35 tfsi1.5,, 01.04.2023 ALLEMAGNEDétail,ESSENCE1 076 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
CitroenC4 cactus1.2FEELsponsoriséeprix initial : 9 990,,,
HyundaiKona,,,
DaciaDuster1.0,,,
SmartFortwo1.0prix initial : 4 700,,,
VolkswagenCaddy1.5prix initial : 33 750,,,
VolkswagenCaddy utilitaire,,,
RenaultKadjar1.2LIFE,,,
VolkswagenMultivan2.0HIGHLINEprix initial : 67 299,,,
FerrariRomaV8 3.9prix initial : 239 900,,,
FordPuma1.0TITANIUM X,,,
FordPuma1.0TITANIUM Xprix initial : 25 890,,,
HyundaiI301.5prix initial : 33 220,,,
FordPumaSt1.5prix initial : 27 500,,,
LexusGs 430LUXURY,,,
SkodaFabia1.0AMBITIONprix initial : 20 790,,,
SkodaKamiq1.0,,,
FiatTalentoprix initial : 19 999,,,
NissanX-trailN CONNECTA4X2,,,
FordTransit courier1.5,,,
FordFocus sw1.5TITANIUM,,,
FordFocus societeTITANIUM,,,
SkodaScala1.0,,,
NissanTownstarACENTA,,,
VolkswagenGolfGte1.4prix initial : 26 990,,,
Fiat500Hybrid1.0DOLCEVITA,,,
VolkswagenArteonR2.0R LINE4MOTIONprix initial : 40 890,,,
CitroenC4 cactus1.2FEELsponsoriséeprix initial : 9 990,, 02.11.2023 FRANCEDétail,ESSENCE150 500 Km2016MANUELLE44430DEVIS ASSURANCEVENDEZ
HyundaiI30 wagon1.0TRENDprix initial : 22 620,,,
ToyotaCorollaGr2.0GR SPORT,,,
SkodaKodiaq1.5STYLE,,,
OpelAstra1.4INNOVATION,,,
AudiA8V8 3.3QUATTROprix initial : 7 000,,,
HyundaiI101.0,,,
JaguarMark vprix initial : 119 000,,,
AudiA3 sportback35 tdi2.0S LINE,,,
HyundaiTucson1.6prix initial : 42 270,,,
HyundaiTucson1.6TRENDprix initial : 42 940,,,
VolvoXc602.4KINETICAWD,,,
SkodaScala1.0DRIVE,,,
VolkswagenTaigo1.0STYLE,,,
AudiQ540 tdi2.0S LINEQUATTRO,,,
OpelCrossland x1.2EDITION,,,
CupraFormentor1.5,,,
AudiA4 avant40 tfsi2.0,,,
MercedesClasse sS 5004MATICprix initial : 65 000,,,
OpelCorsa1.2EDITION,,,
BmwSerie 5530prix initial : 48 950,,,
VolkswagenTouaregRV6 3.0R LINE4MOTIONprix initial : 62 900,,,
VolkswagenTouran2.0HIGHLINEprix initial : 20 900,,,
MercedesClasse vV 250,,,
HyundaiH12.5prix initial : 2 799,,,
HyundaiI101.0,, 06.06.2023 ALLEMAGNEDétail,ESSENCE2 469 Km2023MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiTucson1.6prix initial : 42 270,,,
AudiQ7V6 3.0S LINEprix initial : 57 999,,,
AudiA6 avant2.0DESIGN,,,
HyundaiI101.0N LINE,,,
HyundaiIoniq 5prix initial : 53 820,,,
NissanQashqai1.3TEKNA,,,
HyundaiI101.0N LINE,,,
HyundaiIoniq 6,,,
HyundaiIoniq 6prix initial : 58 520,,,
VolkswagenPolo1.0CONFORTLINEprix initial : 15 900,,,
HyundaiIoniq 6BOSEprix initial : 64 070,,,
VolkswagenTransporterT62.0prix initial : 19 990,,,
AudiA6 avant40 tdi2.0prix initial : 40 950,,,
SkodaFabia1.0AMBITIONprix initial : 21 990,,,
SkodaScala1.5,,,
SkodaKodiaq1.5STYLE,,,
SkodaKamiq1.0STYLEprix initial : 29 490,,,
NissanJuke1.6TEKNA,,,
NissanX-trailE-power1.5TEKNA4X4,,,
NissanTownstarACENTA,,,
NissanQashqaiE-power1.5TEKNA,,,
BmwSerie 5530prix initial : 21 500,,,
BmwX1Xdrive 20d2.0prix initial : 14 890,,,
HyundaiKonaTREND,,,
HyundaiKonaprix initial : 38 490,, 14.06.2023 ALLEMAGNEDétail,ELECTRIQUE10 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiIoniq 6,,,
HyundaiIoniq 5prix initial : 49 850,,,
HyundaiBayon1.0,,,
HyundaiTucson1.6TREND,,,
HyundaiTucson1.6,,,
HyundaiTucson1.6TRENDprix initial : 48 720,,,
HyundaiTucson1.6,,,
HyundaiKonaprix initial : 50 190,,,
HyundaiStaria2.2prix initial : 54 970,,,
HyundaiTucson1.6prix initial : 54 620,,,
HyundaiIoniq 6prix initial : 63 490,,,
OpelAstra1.6,,,
OpelCrossland x1.2ELEGANCEprix initial : 30 900,,,
OpelMokka-eGS LINEprix initial : 30 900,,,
OpelMokka-eELEGANCEprix initial : 37 890,,,
OpelMokka1.2ULTIMATEprix initial : 38 500,,,
OpelAstraPhevELEGANCEprix initial : 36 490,,,
OpelAstra1.6GS LINEprix initial : 38 900,,,
MercedesVitoMarco polo2.0MARCO POLO4MATIC,,,
HyundaiIoniq 6prix initial : 57 490,,,
ToyotaAygo x1.0prix initial : 20 150,,,
NissanQashqaiE-power1.5TEKNA,,,
HyundaiI101.0,,,
HyundaiTucson1.6STYLEprix initial : 18 462,,,
HyundaiKonaprix initial : 38 490,, 16.06.2023 ALLEMAGNEDétail,ELECTRIQUE54 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiTucson1.6prix initial : 39 490,,,
HyundaiIoniq 5prix initial : 52 950,,,
HyundaiIoniq 6prix initial : 64 220,,,
HyundaiKonaprix initial : 40 790,,,
DaciaSandero stepway1.5PRESTIGE,,,
FordFiesta1.1TRENDprix initial : 9 700,,,
HyundaiIoniq 5prix initial : 52 950,,,
FiatDoblo1.4SXprix initial : 12 995,,,
OpelAstra break1.6GS LINE,,,
SkodaKodiaq2.0STYLE,,,
ToyotaAygo x1.0prix initial : 19 750,,,
OpelCorsa1.2,,,
VolkswagenGolf sw2.0CONFORTLINEprix initial : 20 500,,,
BmwSerie 2 cabriolet220SPORT,,,
ToyotaYaris1.5,,,
MaseratiLevanteSq4V6 3.0prix initial : 61 950,,,
InfinitiQx70V6 3.7SPORT,,,
HyundaiI30 wagon1.0TRENDprix initial : 22 620,,,
BmwSerie 3 touring320EDITION AVANTAGE,,,
MercedesClasse cC 1801.6,,,
AudiA6 avant40 tdi2.0SPORT,,,
AudiA6 avant40 tdi2.0SPORT,,,
NissanQashqai1.6TEKNA,,,
MercedesClasse cC 230ELEGANCEprix initial : 2 799,,,
MercedesClasse e coupeE 230ELEGANCEprix initial : 2 799,, 23.06.2023 ALLEMAGNEDétail,ESSENCE321 369 Km2005MANUELLE18528DEVIS ASSURANCEVENDEZ
HyundaiIx201.4WORLD CUPprix initial : 13 357,,,
HyundaiKonaprix initial : 44 540,,,
HyundaiKonaprix initial : 40 740,,,
