modele,prix,date_loc,info
VolkswagenGolf1.4HIGHLINEprix initial : 13 750,,,
FiatTipo1.0CROSS,,,
SkodaEnyaqSPORTLINE,,,
AudiQ540 tdi2.0S LINEQUATTRO,,,
VolkswagenTaigo1.0LIFE,,,
NissanQashqaiE-powerBLACK EDITION,,,
VolkswagenCaddy1.0prix initial : 16 495,,,
FiatTipo1.4,,,
OpelMokka1.2EDITION,,,
OpelMovano combi2.3,,,
DaciaSandero stepwayprix initial : 21 350,,,
Mazda6 break2.0SPORT,,,
SeatTarraco2.0XCELLENCE,,,
HyundaiI30 fastback1.4CREATIVE,,,
SkodaKodiaq2.0,,,
SkodaEnyaq,,,
NissanQashqai1.3N CONNECTAprix initial : 39 490,,,
SkodaKamiq1.5STYLE,,,
MiniMiniCooper1.5,,,
HyundaiI302.0,,,
BmwSerie 2 active tourer2181.5EDITION AVANTAGE,,,
BmwSerie 77303.0,, 06.07.2023 ALLEMAGNEDétail,DIESEL152 000 Km2013AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwX33.0,,,
BmwZ4M40iprix initial : 51 899,,,
HyundaiI30N performance2.0prix initial : 29 890,,,
FordEcosport1.0COOLprix initial : 17 900,,,
BmwZ4mSPORTprix initial : 51 899,,,
FordFiesta1.1TREND,,,
HyundaiI30 fastbackN performance2.0N LINEprix initial : 39 550,,,
HyundaiKonaprix initial : 40 690,,,
HyundaiI101.0,,,
HyundaiKona1.6prix initial : 30 940,,,
HyundaiI30 wagon1.0prix initial : 25 950,,,
HyundaiKona1.0TRENDprix initial : 25 490,,,
HyundaiKona1.0TRENDprix initial : 24 950,,,
HyundaiTucson1.6,,,
HyundaiKona1.6prix initial : 31 290,,,
HyundaiKona1.6,,,
SeatLeon2.0prix initial : 14 500,,,
HyundaiTucson1.6prix initial : 44 950,,,
AudiA31.6ATTRACTION,,,
OpelMokka1.2ULTIMATE,,,
SkodaFabia1.0ACTIVE,,,
NissanQashqai1.3,,,
VolkswagenGolf sportsvan1.4,,,
MazdaCx-32.0SPORT,,,
HyundaiKona1.6,, 17.07.2023 ALLEMAGNEDétail,ESSENCE29 987 Km2020AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiKona1.6TREND,,,
SkodaKaroq1.6STYLEprix initial : 27 485,,,
SkodaKaroq1.5CLEVERprix initial : 30 985,,,
Porsche911 997Turbo3.6prix initial : 89 990,,,
AudiQ335 tfsi1.5S LINE,,,
AudiQ540 tfsi2.0QUATTRO,,,
BmwX33.0SPORT,,,
MercedesClasse c breakC 200AVANTGARDE,,,
NissanQashqai1.3N CONNECTAprix initial : 29 990,,,
VolkswagenMultivan2.0CONFORTLINEprix initial : 49 490,,,
OpelAstra sports tourer2.0SPORT,,,
SkodaOctavia combi1.2CLASSICprix initial : 7 000,,,
HyundaiKona1.0TRENDprix initial : 26 490,,,
SkodaKaroq2.0AMBITIONprix initial : 37 990,,,
VolkswagenTouaregV6 3.04MOTIONprix initial : 46 900,,,
FordFocus1.5TREND,,,
VolkswagenCaddy1.2prix initial : 15 950,,,
FordFiesta1.1TREND,,,
VolkswagenCaddy1.2prix initial : 14 995,,,
BmwX3Xdrive 20i2.0,,,
BmwX3Xdrive 20i2.0EDITION AVANTAGE,,,
OpelAstra breakELEGANCE,,,
HyundaiKonaN1.6N LINE EXECUTIVEprix initial : 31 290,,,
BmwSerie 4M440i xdrive3.0,,,
KiaCeed sw1.4SPIRIT,, 01.08.2023 ALLEMAGNEDétail,ESSENCE37 482 Km2018MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
CupraLeon st2.0,,,
HyundaiIoniq 5prix initial : 56 450,,,
BmwSerie 5 touring520,,,
FordKuga2.0prix initial : 25 990,,,
BmwX530d3.0M SPORT,,,
HyundaiSanta fe1.6SIGNATUREprix initial : 61 990,,,
FordF150Super crewprix initial : 71 950,,,
Fiat500x1.6CITY CROSS4X2prix initial : 13 999,,,
OpelMokka1.4EDITION4X4prix initial : 11 995,,,
OpelAstraULTIMATE,,,
NissanQashqai1.3N CONNECTA,,,
FordTransit connect1.5TRENDprix initial : 18 790,,,
BmwSerie 5 gt535prix initial : 13 999,,,
OpelCorsaEDITION,,,
OpelMokka1.2ULTIMATE,,,
OpelCorsaELEGANCE,,,
MazdaCx-52.2,,,
Fiat500Hybrid1.0STAR,,,
SuzukiSx4 s-cross1.6,,,
FordTransit connect1.5prix initial : 14 995,,,
OpelAstra,,,
HyundaiIoniq 6prix initial : 61 490,,,
FordTransit connect1.5TRENDprix initial : 17 190,,,
HyundaiBayon1.0TREND,,,
VolvoS60r2.0R DESIGN,, 15.08.2023 ALLEMAGNEDétail,ESSENCE28 239 Km2020AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiTucson1.6PREMIUM,,,
RenaultKadjar1.3LIMITED,,,
FordFiesta1.5COOL & CONNECTprix initial : 12 750,,,
VolkswagenGolfGti clubsport2.0prix initial : 1 785,,,
KiaCeed2.0SPORTprix initial : 3 950,,,
SkodaKamiq1.5STYLE,,,
FordKuga2.5HYBRIDprix initial : 34 600,,,
FordFiestaSt1.5prix initial : 26 500,,,
MercedesClasse e190 eprix initial : 5 900,,,
VolkswagenGolfGti2.0prix initial : 30 990,,,
SkodaKaroq2.0SPORTLINE,,,
NissanPulsar1.2N TEC,,,
FordB-max1.0SYNC EDITIONprix initial : 14 500,,,
HyundaiI201.2INITIA,,,
HyundaiI201.2CLASSIC,,,
Fiat500c1.0STAR,,,
BmwX3Xdrive 20d2.0EDITION AVANTAGE,,,
FordFocus,,,
CitroenC11.0STYLE,,,
SkodaKaroq1.5STYLE,,,
MiniMiniOne1.5,,,
BmwSerie 3 touring320M SPORT,,,
MercedesClasse sS 63 amg4MATICprix initial : 119 950,,,
SkodaKaroq1.5STYLE,,,
HyundaiKonaN1.6ULTIMATE,, 25.08.2023 ALLEMAGNEDétail,ESSENCE10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiKonaN2.0,,,
BmwX11.5XLINE,,,
BmwSerie 4M4403.0,,,
Land roverDiscoverySd6V6 3.0LANDMARK EDITIONAWDprix initial : 59 999,,,
VolkswagenGolf2.0HIGHLINE,,,
JeepWranglerUnlimitedV6 3.6RUBICONprix initial : 45 990,,,
PorschePanamera4 e hybridV6 2.9PLATINUMprix initial : 154 999,,,
MercedesClasse c breakC 200AVANTGARDEprix initial : 24 800,,,
MercedesClasse cC 200AVANTGARDEprix initial : 24 800,,,
HyundaiI30N performance2.0prix initial : 37 990,,,
HyundaiKona1.6,,,
FordGrand tourneo connect1.5TREND,,,
HyundaiI101.0N LINE,,,
HyundaiKona1.6ECOprix initial : 41 640,,,
NissanQashqai1.2N CONNECTA,,,
AudiTt2.0QUATTROprix initial : 26 590,,,
HyundaiI301.0TREND,,,
BmwX550iM PERFORMANCEprix initial : 69 950,,,
MitsubishiSpace star1.2,,,
AudiA6 avant2.0prix initial : 25 000,,,
ToyotaYaris cross1.5,,,
HyundaiTucson1.6INTRO EDITION,,,
HyundaiTucson1.7TREND,,,
OpelAstra sports tourer1.4SPORT,,,
VolkswagenTouaregRV6 3.0R LINE4MOTIONprix initial : 63 795,, 08.09.2023 ALLEMAGNEDétail,DIESEL60 700 Km2019AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwX1Sdrive 20i2.0XLINE,,,
Mazda3Skyactiv g1.5,,,
SkodaFabia1.0STYLE,,,
KiaCeed sw1.6EDITION 7,,,
VolkswagenT-cross1.0CROSS,,,
HyundaiTucson1.6TRENDprix initial : 40 700,,,
FiatDucato2.2,,,
VolkswagenTiguan1.4SOUND,,,
VolkswagenGolf1.4LIFE,,,
RenaultKangoo1.5,,,
FiatDobloCargo1.6SX,,,
OpelAstraPhev1.6,,,
HyundaiSanta fe1.6prix initial : 47 990,,,
HyundaiI301.5TRENDprix initial : 30 650,,,
SkodaOctaviaRs2.0,,,
VolkswagenUp!1.0BASE,,,
SkodaScala1.0STYLE,,,
HyundaiKona1.0STYLE,,,
VolkswagenCc2.0,,,
VolkswagenUp!1.0MOVE UP!,,,
MercedesClasse e breakE 200AVANTGARDE,,,
AudiA4 cabrioletV6 3.0prix initial : 7 350,,,
AudiA4 cabrioletV6 3.0prix initial : 7 350,,,
HyundaiIoniq 6prix initial : 61 190,,,
HyundaiSanta fe1.6prix initial : 48 490,, 16.09.2023 ALLEMAGNEDétail,HYBRIDE14 840 Km2022AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
HyundaiKonaTREND,,,
JaguarF-typeP3002.0R-DYNAMIC BLACKRWDprix initial : 53 950,,,
OpelAstra1.7EDITION PLUS,,,
AudiA6 avant40 tdi2.0SPORT,,,
AudiA6 avant45 tdi3.0SPORTQUATTRO,,,
AudiA6 avant45 tdi3.0SPORTQUATTROprix initial : 60 890,,,
AudiA6 avant45 tdi3.0SPORTQUATTRO,,,
AudiA6 avant45 tdi3.0SPORTQUATTROprix initial : 60 890,,,
HyundaiTucson1.6prix initial : 39 820,,,
HyundaiI301.0,,,
HyundaiI201.0prix initial : 20 320,,,
HyundaiIoniq 5prix initial : 51 120,,,
HyundaiKona1.6TRENDprix initial : 37 200,,,
NissanQashqai1.7,,,
SeatAltea xl1.4,,,
VolkswagenUp!1.0MOVE UP!,,,
MercedesGle coupe 53 amgprix initial : 97 950,,,
RenaultKangoo1.5prix initial : 15 400,,,
PorscheCayenne coupeGtsprix initial : 148 950,,,
VolkswagenUp!1.0MOVE UP!,,,
HyundaiKona1.0PREMIUM,,,
BmwSerie 3 touring3.0,,,
OpelCorsaEDITION,,,
HyundaiI30N performance2.0prix initial : 41 990,,,
HyundaiI30N performance2.0prix initial : 39 990,, 21.09.2023 ALLEMAGNEDétail,ESSENCE10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwSerie 5 touring540,,,
FordKa+COOL & CONNECTprix initial : 12 500,,,
MercedesClasse gG 350prix initial : 119 950,,,
MercedesClasse aA 2004MATICprix initial : 18 999,,,
SmartFortwo1.0PASSIONprix initial : 12 450,,,
VolvoV602.0MOMENTUMprix initial : 28 400,,,
VolkswagenMultivan2.0HIGHLINEprix initial : 62 000,,,
RenaultKadjar1.3ZEN,,,
OpelAstra sports tourer1.5SPORT,,,
OpelCombo life1.5EDITION,,,
HondaCivic1.8prix initial : 7 500,,,
VolkswagenVentoVr6,,,
MercedesClasse glcGlc 43 amg3.04MATICprix initial : 63 500,,,
MercedesClasse cC 200,,,
SkodaOctavia scout2.0SCOUT,,,
SkodaKamiq1.0CLEVER,,,
VolkswagenT-roc1.5STYLE,,,
BmwX640d3.0SPORT,,,
Fiat500x1.4S4X2,,,
Fiat5001.2LOUNGE,,,
VolkswagenGolf1.5LIFE,,,
AudiA4 avant40 tdi2.0S LINE,,,
HyundaiIx201.4CLASSIC,,,
OpelCrossland x1.2GS LINE,,,
CitroenC11.2SHINEprix initial : 6 750,, 01.10.2023 ALLEMAGNEDétail,ESSENCE86 000 Km2014MANUELLE18528DEVIS ASSURANCEVENDEZ
AudiQ230 tfsi1.0,,,
ToyotaProace2.0CONFORTprix initial : 40 990,,,
MitsubishiEclipse cross2.4,,,
VolkswagenGolf sportsvan1.2ALLSTAR,,,
VolkswagenCrosstouran2.0,,,
BmwX4Xdrive 20dXLINE,,,
MitsubishiEclipse cross,,,
SkodaOctavia combi2.0prix initial : 10 999,,,
HyundaiI30 wagon1.6TREND,,,
HyundaiI201.0prix initial : 24 525,,,
HyundaiI30 wagon1.0prix initial : 34 290,,,
HyundaiI101.0N LINEprix initial : 23 730,,,
HyundaiKona,,,
FordFiesta1.0TREND,,,
OpelMeriva1.4EDITION,,,
OpelMokka-eGS LINE,,,
OpelCorsaGS LINE,,,
MaseratiLevanteSq4V6 3.0,,,
FordFiestaSt1.0ST LINE,,,
BmwSerie 5530M SPORT,,,
AudiQ335 tdi2.0S LINE,,,
HyundaiI201.2TREND,,,
HyundaiTucson1.6TRENDprix initial : 40 700,,,
HyundaiKona1.6,,,
HyundaiKona,, 06.10.2023 ALLEMAGNEDétail,ELECTRIQUE1 931 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FordKuga1.5ST LINE,,,
NissanQashqai1.6N CONNECTA,,,
BmwSerie 5530SPORT,,,
BmwSerie 3 touring320SPORT,,,
VolkswagenGolf sportsvan1.5HIGHLINE,,,
MercedesClasse sl560 slprix initial : 43 950,,,
HyundaiI40 wagon2.0TREND,,,
HyundaiI101.0TRENDprix initial : 18 700,,,
HyundaiI201.6prix initial : 29 490,,,
HyundaiKonaN1.6ULTIMATE,,,
HyundaiKonaN1.6ULTIMATE,,,
HyundaiI30N performance2.0prix initial : 38 700,,,
HyundaiI301.5,,,
HyundaiTucson1.6TREND,,,
OpelAdam1.2JAM,,,
PorscheMacanGtsV6 2.9prix initial : 117 999,,,
BmwX5M PERFORMANCEprix initial : 69 950,,,
MercedesAmg gt roadsterRV8 4.0,,,
VolkswagenTiguan1.4,,,
BmwSerie 5 touring535prix initial : 13 499,,,
MercedesClasse cC 43 amgprix initial : 43 950,,,
HyundaiTucson1.6CREATIVEprix initial : 20 448,,,
Fiat500l1.4LOUNGEprix initial : 10 000,,,
Fiat500lprix initial : 10 000,,,
SkodaFabia1.0ACTIVE,, 09.10.2023 ALLEMAGNEDétail,ESSENCE60 742 Km2020MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
NissanJuke1.6VISIA,,,
BmwX12.0EDITION AVANTAGE,,,
BmwX11.5M SPORT,,,
VolkswagenTouaregV6 3.0prix initial : 18 500,,,
HyundaiI101.2,,,
HyundaiI201.0N LINEprix initial : 24 950,,,
HyundaiIoniq 5prix initial : 46 950,,,
HyundaiTucson1.6prix initial : 20 990,,,
HyundaiKona1.0TRENDprix initial : 25 900,,,
HyundaiSanta fe2.2SIGNATUREprix initial : 51 950,,,
HyundaiTucson1.6TREND,,,
HyundaiTucson1.6TRENDprix initial : 36 820,,,
Mazda323prix initial : 3 500,,,
KiaCeed sw1.4MOTION,,,
BmwX11.5SPORT,,,
HyundaiI101.0TREND,,,
HyundaiKonaN1.6ULTIMATE,,,
HyundaiIoniq 5,,,
HyundaiKonaN1.6ULTIMATE,,,
HyundaiStaria2.2TRENDprix initial : 47 320,,,
OpelCorsa1.2SELECTION,,,
SkodaYeti1.4,,,
BmwSerie 3 touring320,,,
HyundaiIoniq 6,,,
HyundaiI30 wagon1.0prix initial : 30 740,, 13.10.2023 ALLEMAGNEDétail,ESSENCE27 Km2023AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
Peugeot2081.2ACTIVE,,,
SkodaSuperb combi2.0LAURIN & KLEMENT,,,
NissanJuke1.6TEKNA,,,
MercedesClasse mMl 320prix initial : 13 995,,,
VolkswagenTransporterT6,,,
ChevroletNubira1.6prix initial : 3 200,,,
MercedesVito1102.1,,,
VolkswagenTransporterT5,,,
ToyotaProace2.0prix initial : 40 300,,,
VolkswagenSharan2.0ALLSTAR,,,
CitroenC5 aircross1.6SHINE PACK,,,
HyundaiKonaTREND,,,
HyundaiH12.5prix initial : 5 000,,,
ToyotaYaris cross1.5ADVANCE,,,
SkodaOctavia combi2.0STYLE,,,
DaciaSandero1.0prix initial : 6 899,,,
SkodaKodiaq1.5SPORTLINE,,,
SkodaKodiaq1.5SPORTLINEprix initial : 27 990,,,
VolkswagenTransporterT5 california2.04MOTION,,,
MazdaCx-52.0,,,
SkodaOctavia combi2.0,,,
JeepGladiatorOVERLANDprix initial : 74 950,,,
PorschePanamera4 e hybridV6 2.9PLATINUM,,,
MercedesClasse e4MATIC,,,
VolkswagenPolo,, 23.10.2023 ALLEMAGNEDétail,ESSENCE84 943 Km2014MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FordGrand c-max1.0COOL,,,
SmartFortwo1.0PRIME,,,
OpelCorsa1.2,,,
OpelCorsaEDITION,,,
SmartFortwo1.0,,,
VolkswagenPassat1.8prix initial : 3 999,,,
VolkswagenCaddy2.0prix initial : 13 995,,,
MercedesCls shooting brakeCls 350prix initial : 26 790,,,
MercedesClasse clsCls 3504MATICprix initial : 26 790,,,
VolkswagenCaddy2.0CONFORTLINE4MOTION,,,
BmwX540d3.0SPORTprix initial : 38 490,,,
AudiA6 avant3.0S LINEQUATTRO,,,
HyundaiKonaTREND,,,
NissanQashqai1.3,,,
NissanJuke1.0ACENTA,,,
HyundaiI101.15 STAR EDITION,,,
ToyotaCorolla2.0LIMITED EDITION,,,
CitroenBerlingo van,,,
OpelGrandland x1.6ULTIMATE,,,
OpelMokka1.4EDITION4X4prix initial : 11 395,,,
VolkswagenCaddy utilitaire1.2,,,
CitroenBerlingo,,,
NissanJuke1.0,,,
OpelCombo cargo1.5EDITION,,,
OpelCombo cargo1.5EDITION,, 27.10.2023 ALLEMAGNEDétail,DIESEL10 Km2023MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwSerie 3 cabriolet316sponsorisée,,,
NissanQashqai1.2360,,,
VolkswagenPolo1.0CONFORTLINE,,,
AudiQ5 sportbackSq5V6 3.0QUATTRO,,,
Mazda21.4,,,
MitsubishiEclipse cross2.4,,,
VolkswagenPolo1.4,,,
BmwSerie 5 touring530prix initial : 8 750,,,
VolkswagenTransporterT51.9prix initial : 10 500,,,
FiatBravo1.4,,,
OpelAstra sports tourer1.4SPORT,,,
MercedesClasse vV 250AVANTGARDE,,,
MercedesClasse glcGlc 43 amg3.04MATICprix initial : 59 990,,,
OpelCorsa1.2EDITION,,,
Saab9-52.0LINEAR,,,
VolkswagenCaddy2.0,,,
OpelMokka1.2ULTIMATE,,,
NissanJuke1.0ACENTA,,,
AudiQ3 sportback35 tdi2.0S LINEQUATTRO,,,
VolvoXc40D42.0INSCRIPTIONAWD,,,
SkodaCitigo1.0COOL EDITION,,,
SkodaOctavia combi1.5,,,
FordF150Super crew,,,
MercedesClasse cC 2001.5,,,
MercedesClasse aA 1801.6,,,
HyundaiTucson1.6CLASSIC,,,
BmwSerie 3 cabriolet316sponsorisée,, 17.11.2023 ALLEMAGNEDétail,ESSENCE98 545 Km1984MANUELLE72766DEVIS ASSURANCEVENDEZ
HyundaiI30 wagon1.0,,,
HyundaiTucson1.7prix initial : 18 990,,,
HyundaiSanta fe2.2PREMIUM,,,
HyundaiKonaprix initial : 35 950,,,
HyundaiBayon1.0,,,
HyundaiBayon1.0prix initial : 26 800,,,
HyundaiI101.0N LINE,,,
HyundaiI101.0N LINE,,,
HyundaiI101.0N LINE,,,
HyundaiTucson1.6prix initial : 45 440,,,
HyundaiKona,,,
FordFocus societe2.0BUSINESS,,,
SkodaOctavia combi2.0AMBITION,,,
VolkswagenCaddy1.2,,,
VolkswagenT-roc1.5STYLE,,,
ChevroletC10,,,
AudiQ5Sq5V6 3.0QUATTRO,,,
AudiA4 avant2.0DESIGN,,,
HyundaiI101.0N LINE,,,
HyundaiTucson1.6TREND,,,
HyundaiTucson1.6STYLE,,,
SkodaOctavia2.0,,,
VolkswagenCaddy utilitaire1.9prix initial : 7 399,,,
SkodaOctavia combiRs2.0,,,
RenaultKadjar1.3INTENS,, 06.11.2023 ALLEMAGNEDétail,ESSENCE25 809 Km2021MANUELLE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OpelAstra sports tourer1.4SPORT,,,
NissanQashqai1.3,,,
VolkswagenTransporterT5,,,
BmwSerie 3 touring320,,,
AudiQ5Sq5V6 3.0QUATTRO,,,
HyundaiI30 wagon1.0TRENDprix initial : 31 720,,,
MiniMiniCooper dprix initial : 8 500,,,
Peugeot308 societeGT,,,
VolkswagenT-rocR1.5R LINE,,,
SkodaCitigo1.0COOL EDITION,,,
FordF100,,,
NissanX-trail2.0N CONNECTA4X4,,,
NissanNavara,,,
NissanQashqai1.6N CONNECTA,,,
LamborghiniUrus,,,
OpelCrossland x1.2INNOVATION,,,
NissanLeafVISIA,,,
VolkswagenGolf1.6CONFORTLINE,,,
MercedesClasse gleGle 350AMG LINE4MATIC,,,
HyundaiTucson1.6TREND,,,
OpelGrandland x1.2INNOVATION,,,
OpelCorsa1.2GS LINE,,,
NissanQashqai1.2VISIA,,,
NissanLeafVISIAprix initial : 10 990,,,
VolkswagenGolf1.6,, 10.11.2023 ALLEMAGNEDétail,ESSENCE139 300 Km2003MANUELLE18528DEVIS ASSURANCEVENDEZ
FordFiesta1.1COOL,,,
SkodaKamiq1.5MONTE CARLO,,,
BmwX1Sdrive 20i2.0XLINE,,,
BmwSerie 2 active tourer2181.5,,,
HyundaiBayon1.0prix initial : 26 800,,,
FordFocus1.0TREND,,,
ToyotaAygo1.0COOL,,,
VolkswagenCaddy maxi2.0,,,
MercedesClasse vV 250EDITION 1,,,
NissanQashqai1.2TEKNA,,,
NissanQashqai1.3ACENTA,,,
VolkswagenGolf sw2.0HIGHLINE,,,
RenaultMegane cc1.6prix initial : 2 900,,,
FordFiesta,,,
MitsubishiEclipse crossprix initial : 29 500,,,
Mercedes190,,,
VolkswagenPolo1.2,,,
SkodaKaroq1.5STYLE,,,
VolkswagenGolf1.4HIGHLINE,,,
VolkswagenGolf sw1.6CONFORTLINE,,,
NissanJuke1.6VISIA,,,
NissanPulsar1.6N CONNECTA,,,
VolkswagenGolf1.6CONFORTLINE,,,
MercedesClasse cC 220ELEGANCE,,,
AudiQ5 sportbackSq5V6 3.0QUATTRO,, 14.11.2023 ALLEMAGNEDétail,DIESEL10 Km2024AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
ToyotaLand cruiser2.8,,,
HyundaiI30 wagon1.0TREND,,,
HyundaiI30 wagon1.5,,,
HyundaiTucson1.6,,,
HyundaiKona,,,
BmwSerie 3 touring,,,
Peugeot206 cc,,,
ToyotaC-hr1.8,,,
NissanPulsar1.2ACENTA,,,
NissanQashqai1.3ACENTA,,,
Saab9-52.0,,,
VolkswagenCaddy1.9,,,
HyundaiTucson1.6TREND,,,
HyundaiTucson1.6,,,
HyundaiIoniq 5,,,
MercedesCla shooting brakeCla 220,,,
FordFiesta1.25TREND,,,
VolkswagenGolf swAlltrack2.04MOTION,,,
VolkswagenPassat variant2.04MOTION,,,
AudiA6 allroadV6 3.0,,,
HyundaiI301.6,,,
HyundaiKona1.0TREND,,,
FordFocus societe2.0BUSINESS,,,
VolkswagenGolf sportsvan1.0TRENDLINE,,,
MercedesClasse glcGlc 250LUXURY4MATIC,, 18.11.2023 ALLEMAGNEDétail,ESSENCE56 980 Km2018AUTOMATIQUE18528DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
VolkswagenGolfGti2.0,,,
KiaRio,,,
VolkswagenGolf sw1.4,,,
VolkswagenGolf1.4,,,
BmwSerie 7750d xdrive,,,
PontiacFirebirdV8 6.6,,,
CorvetteC3Pace carV8 5.7,,,
VolkswagenPoloUNITED,,,
Mazda5prix initial : 3 500,,,
DaciaDuster1.64X4,,,
VolkswagenNew beetle1.8SPORT,,,
MazdaCx-52.2SPORT,,,
BmwSerie 3 touring320,,,
VolkswagenBora2.0prix initial : 980,,,
DaihatsuCuore1.0,,,
VolkswagenGolf2.0prix initial : 29 000,,,
VolkswagenTransporterT41.9,,,
VolkswagenTransporterT42.5prix initial : 17 000,,,
VolkswagenTransporterT4prix initial : 16 500,,,
VolkswagenGolfR2.04MOTIONprix initial : 27 000,,,
HondaJazz1.3prix initial : 1 450,,,
VolkswagenTransporterT52.0prix initial : 14 999,,,
VolkswagenLupoprix initial : 1 750,,,
AudiA4 avant1.8AMBIENTE,,,
HondaJazz,, 18.11.2023 ALLEMAGNEDétail,ESSENCE278 400 Km2002MANUELLE18581DEVIS ASSURANCEVENDEZ
MercedesClasse c breakC 220,,,
MercedesClasse cC 220,,,
MiniCabrioJohn cooper works2.0,,,
AudiA41.6,,,
CitroenJumpyprix initial : 11 800,,,
AudiA6S6V10 5.2prix initial : 11 700,,,
AudiA41.6,,,
SeatIbiza1.4FRESH,,,
SkodaOctavia,,,
SkodaOctavia combi,,,
BmwSerie 11182.0,,,
HyundaiIoniq 5,,,
Peugeot307 cc2.0,,,
FordPumaSt1.0ST LINE X,,,
AudiA4prix initial : 11 250,,,
MercedesClasse glGl 320prix initial : 12 500,,,
CorvetteC3prix initial : 20 000,,,
AudiA4 avant1.8AMBIENTE,,,
BmwSerie 3 touringM340i xdrive,,,
ToyotaYaris,,,
AudiQ5Sq5V6 3.0QUATTRO,,,
AudiQ32.0,,,
AudiQ335 tfsi1.5S LINE,,,
FordRangerWildtrakWILDTRAK4X4,,,
FordKuga1.5ST LINE,, 14.11.2023 ALLEMAGNEDétail,ESSENCE42 951 Km2018AUTOMATIQUE17459DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwSerie 3M32.0sponsorisée,,,
Mazda51.8,,,
NissanMicra1.2CONFORT,,,
Peugeot50081.6ALLUREprix initial : 22 990,,,
Lada1200,,,
SkodaOctavia combiRs2.0,,,
JeepWranglerUnlimited2.0RUBICON,,,
Porsche911 991Carrera 43.0,,,
Porsche911 cabriolet 991Carrera 4 gts,,,
VolkswagenTouaregRV6 3.0R LINE4MOTION,,,
VolkswagenTouaregRV6 3.0R LINE4MOTION,,,
VolkswagenCaravelle2.0,,,
MercedesViano,,,
MercedesVito mixto4MATIC,,,
MercedesCla shooting brakeCla 220,,,
MercedesClasse aA 2502.0,,,
VolkswagenTransporterT62.04MOTION,,,
VolkswagenTouaregRV6 3.0BLACK4MOTION,,,
BmwX4Xdrive 20iM SPORT,,,
BmwSerie 4M43.0prix initial : 99 000,,,
Man truckMan tge,,,
MercedesClasse e,,,
ToyotaYarisprix initial : 3 799,,,
RenaultKadjar1.3LIMITED,,,
CitroenC6prix initial : 4 000,,,
