modele,prix_initial,prix_actuel,date_loc,info
ChevroletSuburban,,4 241 €,,
KiaK5GT LINE,,30 728 €,,
KiaTellurideX LINE,,59 253 €,,
KiaRio1.0S,,12 907 €,,
ChevroletImpalaLS,,6 223 €,,
JeepCherokee2.4LATITUDE,,17 696 €,,
SubaruForester2.5TOURING,,20 462 €,,
SubaruForester2.5TOURING,,20 278 €,,
SubaruImprezaWrx sti,,29 498 €,,
ToyotaRav4LIMITED EDITION,,18 347 €,,
NissanVersa1.6S,,15 852 €,,
HondaPassportTOURING,,29 681 €,,
SubaruImprezaWrx sti2.5,,29 681 €,,
Toyota4runnerV6 4.0LIMITED EDITION,,24 432 €,,
KiaOptimaLX,,9 220 €,,
KiaOptimaLX,,13 829 €,,
KiaSorentoPREMIUM,,16 595 €,,
KiaRioS,,16 595 €,,
KiaSoulLX,,16 595 €,,
KiaForte,,17 056 €, 18.11.2023 ETATS-UNISDétail,ESSENCE65 608 Km2019AUTOMATIQUE99503DEVIS ASSURANCEVENDEZ
KiaRioS,,16 978 €,,
KiaSportageLX,,28 401 €,,
KiaSorentoLX,,24 893 €,,
KiaSorentoLX,,21 205 €,,
FordEscape,,9 220 €,,
VolkswagenUp!,,10 602 €,,
AcuraRdx2.0A SPEC,,37 057 €,,
VolvoV60 cross country2.0,,33 369 €,,
SubaruForester2.5TOURING,,31 525 €,,
SubaruImprezaWrxPREMIUM,,32 447 €,,
MiniCountrymanCooper s2.0,,30 603 €,,
SubaruForester,,12 815 €,,
FordEscape2.0TITANIUMprix initial : 30 378,,25 769 €,,
ChevroletSilverado 1500CUSTOMprix initial : 44 175,,41 133 €,,
KiaOptimaprix initial : 23 508,,22 126 €,,
KiaOptima2.4prix initial : 23 508,,22 126 €,,
GmcAcadiaV6 3.6SLT,,32 222 €,,
FordFiesta1.6Sprix initial : 9 218,,8 297 €,,
ChevroletSilverado 1500LTprix initial : 50 495,,45 839 €,,
KiaNiro1.6LXprix initial : 25 813,,21 204 €,,
KiaE-niroLXprix initial : 25 813,,21 204 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCKprix initial : 45 157,,49 246 €,,
GmcAcadiaV6 3.6SLT,,31 300 €,,
FordF150V6 3.5XLprix initial : 34 295,,32 267 €,,
KiaSportage1.6LX4X2,,26 690 €, 28.04.2023 ETATS-UNISDétail,ESSENCE35 484 Km2022AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChevroletBlazerV6 3.6RS,,46 973 €,,
BuickEnclaveV6 3.6AVENIR,,39 598 €,,
InfinitiQx80V8 5.6LUXE,,45 129 €,,
ChevroletSilverado 1500WORK TRUCKprix initial : 43 041,,44 931 €,,
ChevroletSilverado 1500prix initial : 61 051,,58 009 €,,
ChevroletBlazerV6 3.62LT,,31 300 €,,
KiaSportage2.4LX,,26 690 €,,
InfinitiQx80LUXE,,45 129 €,,
ChevroletTahoeV8 5.3LTprix initial : 55 213,,49 682 €,,
FordExplorer2.3LIMITED,,35 910 €,,
AudiQ7PREMIUM EDITIONprix initial : 41 478,,35 033 €,,
ChevroletEquinox1.52LT,,27 612 €,,
ChevroletSilverado 1500V8 5.3prix initial : 52 495,,49 960 €,,
ChevroletSilverado 1500prix initial : 57 663,,54 621 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 56 280,,53 468 €,,
ChevroletSilverado 1500LTZprix initial : 64 093,,63 587 €,,
ChevroletSilverado 2500V8 6.6CUSTOM,,52 205 €,,
MiniClubmanCooper s,,33 144 €,,
FordExpedition maxV6 3.5LIMITED,,53 427 €,,
ChevroletBolt ev2LTprix initial : 29 491,,23 960 €,,
ChevroletEquinox1.5PREMIERprix initial : 23 325,,18 336 €,,
CadillacXt5V6 3.6prix initial : 30 146,,27 566 €,,
ChevroletEquinox1.51LT,,27 612 €,,
ChevroletEquinox1.52LT,,26 690 €,,
LexusRx 350AWD,,47 895 €, 13.07.2023 ETATS-UNISDétail,ESSENCE36 075 Km2022AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChevroletSuburbanV8 6.2HIGH COUNTRYprix initial : 85 667,,84 469 €,,
FordF150V6 3.5XLTprix initial : 36 877,,31 243 €,,
FordF150V6 3.5TREMORprix initial : 56 678,,55 316 €,,
NissanMaximaV6 3.5SLprix initial : 24 789,,18 336 €,,
HyundaiSanta feSELprix initial : 30 286,,26 633 €,,
HyundaiSanta fePREMIUMprix initial : 30 286,,26 633 €,,
ChevroletEquinox1.52LTprix initial : 26 633,,21 102 €,,
MazdaCx-32.0GRAND TOURINGprix initial : 23 969,,23 048 €,,
FordF150V8 5.0LARIATprix initial : 57 893,,53 196 €,,
NissanAltima2.5SVprix initial : 23 969,,21 204 €,,
ChevroletSilverado 1500V8 5.3prix initial : 55 671,,48 757 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 55 344,,53 224 €,,
ChevroletBolt ev2LTprix initial : 23 786,,22 024 €,,
ChryslerVoyagerprix initial : 22 945,,18 336 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 55 390,,48 476 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 55 390,,53 270 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 55 847,,53 727 €,,
ChevroletSilverado 2500V8 6.6CUSTOMprix initial : 51 813,,51 998 €,,
FordMustang2.3GT PREMIUM,,20 282 €,,
ChevroletSilverado 1500V8 5.3prix initial : 61 208,,59 088 €,,
ChevroletSilverado 1500CUSTOMprix initial : 46 138,,44 710 €,,
JeepCherokeeV6 3.2LIMITED,,25 769 €,,
FordFusion2.0SE,,20 237 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCKprix initial : 48 448,,47 941 €,,
ChevroletSilverado 1500V8 5.3prix initial : 58 912,,51 767 €, 17.08.2023 ETATS-UNISDétail,ESSENCE16 Km2024AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChevroletSilverado 1500V8 5.3prix initial : 58 548,,51 403 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCK,,48 541 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 35 029,,32 544 €,,
LexusRx 350F SPORT,,49 693 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 59 226,,53 694 €,,
ChevroletSilverado 1500V8 5.3,,58 641 €,,
ChevroletSilverado 2500V8 6.6LTprix initial : 65 615,,65 800 €,,
ChevroletSilverado 1500CUSTOMprix initial : 46 687,,45 259 €,,
ChevroletSilverado 1500CUSTOM,,46 508 €,,
ChevroletSilverado 1500V8 5.3WORK TRUCKprix initial : 48 725,,48 034 €,,
ChevroletSilverado 1500,,58 456 €,,
ChevroletSilverado 1500V8 5.3prix initial : 57 525,,50 610 €,,
ChevroletSilverado 1500CUSTOMprix initial : 46 871,,45 443 €,,
Toyota4runnerV6 4.0LIMITED EDITION,,27 658 €,,
ChevroletSilverado 1500,,58 913 €,,
ChevroletSilverado 1500LTZ,,59 959 €,,
ChevroletSilverado 1500CUSTOM,,47 052 €,,
ChevroletSilverado 1500V8 5.3,,57 617 €,,
FordFusion2.0TITANIUM,,22 081 €,,
Ram trucksRam 1500V8 5.7BIG HORN,,36 832 €,,
ChevroletTraverseV6 3.6LTprix initial : 46 954,,46 217 €,,
ChevroletSilverado 1500prix initial : 58 456,,51 311 €,,
ChevroletSilverado 1500LTZprix initial : 60 696,,60 512 €,,
ChevroletSilverado 1500V8 5.3prix initial : 57 160,,50 016 €,,
FordF150V8 5.0XLTprix initial : 36 877,,NC, 26.08.2023 ETATS-UNISDétail,ESSENCE62 974 Km2020AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
Ram trucksRam 1500V8 5.7BIG HORN,,34 066 €,,
LexusIs 350V6 3.5F SPORTprix initial : 45 072,,41 384 €,,
HyundaiAccent1.6SEprix initial : 16 491,,11 974 €,,
ChevroletEquinox1.51LTprix initial : 29 991,,29 253 €,,
Ram trucksRam 1500V8 5.7LARAMIE,,35 910 €,,
HyundaiAccentSEprix initial : 16 491,,11 974 €,,
ChevroletSilverado 1500LTZprix initial : 63 914,,58 382 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 54 662,,46 826 €,,
ChevroletEquinox1.5RS,,30 789 €,,
ChevroletBolt ev1LTprix initial : 26 257,,26 442 €,,
CorvetteC8StingrayV8 6.2prix initial : 84 247,,84 432 €,,
ChevroletSilverado 1500V8 5.3prix initial : 55 671,,48 527 €,,
ChevroletSilverado 1500V8 5.3prix initial : 58 898,,51 984 €,,
ChevroletTahoeV8 5.3LT,,47 895 €,,
FordEscape2.0TITANIUM,,25 769 €,,
ToyotaRav42.5LIMITED EDITION,,27 453 €,,
NissanMaximaV6 3.5SVprix initial : 22 023,,18 336 €,,
ChevroletTahoeV8 5.3LTprix initial : 48 852,,45 994 €,,
ChevroletTahoeV8 5.3LTprix initial : 48 852,,43 228 €,,
Toyota4runnerV6 4.0SR5prix initial : 34 101,,29 399 €,,
Toyota4runnerV6 4.0SR5prix initial : 34 101,,32 165 €,,
ToyotaRav42.5prix initial : 31 243,,26 633 €,,
ChevroletTahoeV8 5.3LTprix initial : 48 852,,43 228 €,,
Toyota4runnerV6 4.0SR5prix initial : 31 243,,30 321 €,,
NissanVersa note1.6SVprix initial : 12 896,,11 052 €, 08.09.2023 ETATS-UNISDétail,ESSENCE98 535 Km2019AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
BmwSerie 3M32.0sponsorisée,,NC,,
ToyotaRav42.5LIMITED EDITIONprix initial : 27 657,,23 867 €,,
Ram trucksRam 1500V8 5.7BIG HORNprix initial : 31 254,,26 633 €,,
Ram trucksRam 1500V8 5.7REBELprix initial : 36 774,,34 009 €,,
Ram trucksRam 1500V8 5.7LARAMIEprix initial : 34 828,,30 321 €,,
FordEdge2.0TITANIUMprix initial : 24 881,,22 945 €,,
DodgeDurangoV6 3.6,,25 814 €,,
ChevroletCamaroV8 6.22SS,,55 847 €,,
ChevroletTahoeV8 5.3LTprix initial : 48 852,,44 150 €,,
ChevroletSilverado 1500V6 4.3WORK TRUCKprix initial : 20 179,,NC,,
FordEdgeV6 2.7,,28 534 €,,
HondaHr-v1.8EX,,24 847 €,,
ChevroletSilverado 1500CUSTOMprix initial : 47 051,,45 623 €,,
DodgeDurangoV8 5.7,,39 598 €,,
ChevroletSilverado 1500V8 5.3prix initial : 55 764,,47 928 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 55 026,,47 190 €,,
ChevroletEquinox1.5PREMIERprix initial : 43 327,,42 589 €,,
ChevroletEquinox1.5RSprix initial : 33 628,,32 891 €,,
ChevroletSilverado 1500WORK TRUCKprix initial : 40 044,,39 999 €,,
ChevroletSilverado 1500V8 5.3prix initial : 55 307,,47 471 €,,
JeepCherokee2.4LATITUDE,,21 159 €,,
NissanNv3500V8 5.6SLprix initial : 21 101,,20 180 €,,
DodgeDurangoprix initial : 31 798,,28 580 €,,
ChevroletSilverado 1500V8 6.2prix initial : 63 310,,61 190 €,,
ChevroletEquinox1.5PREMIERprix initial : 33 033,,32 296 €,,
ChevroletEquinox1.5PREMIERprix initial : 36 785,,36 048 €,,
BmwSerie 3M32.0sponsorisée,,NC, 09.11.2023 FRANCEDétail,ESSENCE68 000 Km1995MANUELLE92400DEVIS ASSURANCEVENDEZ
KiaStingerV6 3.3GTprix initial : 46 096,,41 384 €,,
ChevroletSilverado 1500V8 6.2prix initial : 64 057,,61 937 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 59 917,,59 410 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 59 825,,59 318 €,,
ChryslerVoyagerprix initial : 21 193,,19 258 €,,
ChevroletTraverseV6 3.6LT,,33 144 €,,
FordExplorer2.3LIMITED,,35 910 €,,
ToyotaCamry2.5LIMITED EDITION,,21 159 €,,
ChevroletTraxprix initial : 21 808,,21 993 €,,
ChevroletSilverado 1500V8 5.3prix initial : 55 307,,48 163 €,,
ChevroletSilverado 1500V8 6.2prix initial : 63 600,,61 480 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 59 461,,58 954 €,,
ChevroletSilverado 1500V8 5.3LTZprix initial : 60 240,,59 733 €,,
BmwX3Xdrive 30i2.0,,33 628 €,,
ChevroletSilverado 3500V8 6.6LTZprix initial : 73 862,,74 046 €,,
ChevroletTahoeV8 5.3PREMIER,,47 895 €,,
JeepCherokee2.4LATITUDE,,22 081 €,,
HyundaiSonata1.6SELprix initial : 27 555,,24 789 €,,
ChevroletSilverado 3500V8 6.6LTZprix initial : 77 222,,77 407 €,,
ChevroletEquinox1.5RSprix initial : 31 332,,30 595 €,,
ChevroletEquinox1.5LSprix initial : 28 963,,28 226 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 56 077,,53 957 €,,
ChevroletSilverado 2500V8 6.6HIGH COUNTRYprix initial : 81 790,,81 975 €,,
ChevroletSilverado 1500V8 5.3LTprix initial : 56 441,,54 321 €,,
Ram trucksRam 1500V8 5.7LARAMIE,,43 228 €, 29.09.2023 ETATS-UNISDétail,ESSENCE34 176 Km2022AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
ChevroletEquinox1.5RSprix initial : 32 710,,31 973 €,,
ChevroletSilverado 1500CUSTOMprix initial : 46 964,,45 535 €,,
HyundaiSonataSELprix initial : 27 555,,24 789 €,,
ChevroletSilverado 1500V8 5.3,,57 161 €,,
ChevroletEquinox1.5LSprix initial : 28 649,,27 912 €,,
ChevroletSilverado 2500V8 6.6CUSTOMprix initial : 61 876,,62 061 €,,
ChevroletTraxprix initial : 23 666,,23 851 €,,
Toyota4runnerV6 4.0SR5,,34 988 €,,
FordBronco sportBig bend1.5BIG BEND,,26 690 €,,
ChevroletTrax,,24 713 €,,
ChevroletTraxLT,,22 362 €,,
ChevroletTraxLS,,20 979 €,,
ChevroletEquinox2.42LT,,10 038 €,,
Ram trucksRam 3500V8 6.4SLTprix initial : 32 164,,34 009 €,,
KiaSedonaLXprix initial : 20 734,,17 969 €,,
ChevroletBlazer2.0PREMIERprix initial : 49 186,,47 987 €,,
ChevroletTraverseV6 3.6LTprix initial : 39 676,,38 939 €,,
ChevroletSilverado 1500CUSTOMprix initial : 48 443,,47 015 €,,
ToyotaHighlanderV6 3.5LIMITED EDITION,,32 165 €,,
ToyotaCorolla1.8LIMITED EDITION,,18 336 €,,
NissanAltima2.5S,,17 414 €,,
MazdaCx-92.5GRAND TOURINGprix initial : 28 477,,26 633 €,,
ChevroletBlazerV6 3.6RS,,30 413 €,,
FordEdgeV6 2.7SPORT,,23 925 €,,
JeepCompass2.4LIMITEDprix initial : 21 716,,20 180 €, 05.10.2023 ETATS-UNISDétail,ESSENCE88 198 Km2020AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
NissanMuranoV6 3.5SVprix initial : 23 867,,NC,,
VolkswagenJetta1.4SEprix initial : 19 257,,18 336 €,,
NissanMuranoV6 3.5SV,,23 867 €,,
ToyotaCorolla1.8LIMITED EDITIONprix initial : 18 335,,17 414 €,,
ToyotaHighlanderV6 3.5LIMITED EDITION,,32 165 €,,
HyundaiAccent1.6SEprix initial : 15 662,,14 648 €,,
ToyotaCamry2.5SEprix initial : 22 023,,NC,,
FordEscape1.5SELprix initial : 22 023,,21 102 €,,
DodgeGrand caravanV6 3.6,,20 180 €,,
FordEcosport2.0TITANIUM,,18 336 €,,
VolkswagenTiguan2.0SE,,22 024 €,,
NissanMuranoV6 3.5SVprix initial : 23 867,,20 180 €,,
NissanAltima2.5SV,,21 102 €,,
NissanMaximaV6 3.5SV,,22 024 €,,
NissanSentra1.8SVprix initial : 14 647,,13 726 €,,
FordFusion2.0TITANIUMprix initial : 19 257,,18 336 €,,
ToyotaCorolla1.8LIMITED EDITIONprix initial : 16 491,,15 570 €,,
FordEdge2.0TITANIUMprix initial : 26 223,,25 711 €,,
ChevroletSpark1.41LTprix initial : 13 725,,12 804 €,,
NissanSentra2.0SVprix initial : 18 335,,15 662 €,,
JeepGrand cherokeeV6 3.6LIMITEDprix initial : 28 477,,25 711 €,,
VolkswagenTiguan2.0SEprix initial : 22 023,,20 180 €,,
NissanRogue2.5SV,,23 867 €,,
VolkswagenPassat2.0SEprix initial : 20 179,,18 336 €,,
NissanRogue2.0SPORT,,19 258 €, 05.10.2023 ETATS-UNISDétail,ESSENCE89 785 Km2021AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
JeepGrand cherokeeV6 3.6LIMITEDprix initial : 27 555,,24 789 €,,
NissanRogue2.5SV,,23 867 €,,
ToyotaRav42.5prix initial : 31 484,,27 555 €,,
VolkswagenTiguan2.0SEprix initial : 22 023,,NC,,
NissanSentra2.0SVprix initial : 18 335,,14 648 €,,
JeepCompass2.4LIMITEDprix initial : 21 716,,20 180 €,,
KiaSorento2.5LX,,23 867 €,,
NissanSentra2.0SVprix initial : 18 335,,NC,,
NissanAltima2.5SRprix initial : 21 101,,20 180 €,,
NissanRogue2.5SV,,23 867 €,,
NissanAltima2.5SRprix initial : 21 101,,20 272 €,,
NissanRogue2.5SVprix initial : 23 867,,21 102 €,,
NissanSentra2.0SVprix initial : 18 335,,15 570 €,,
JeepCherokee2.4LATITUDE,,21 643 €,,
NissanVersa note1.6SV,,12 804 €,,
ChevroletEquinox1.51LT,,20 180 €,,
ToyotaCamry2.5SEprix initial : 22 023,,19 258 €,,
JeepCompass2.4TRAILHAWKprix initial : 22 125,,NC,,
NissanVersa1.6SVprix initial : 15 569,,14 648 €,,
ToyotaCamry2.5SEprix initial : 22 023,,20 180 €,,
NissanSentra2.0SVprix initial : 18 335,,17 414 €,,
VolkswagenJetta1.4SEprix initial : 19 257,,17 414 €,,
NissanMuranoV6 3.5SVprix initial : 23 867,,22 945 €,,
NissanMaximaV6 3.5SVprix initial : 22 023,,21 102 €,,
ToyotaCamry2.5SEprix initial : 22 023,,21 102 €, 05.10.2023 ETATS-UNISDétail,ESSENCE78 954 Km2021AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
NissanArmadaV8 5.6SVprix initial : 34 111,,32 165 €,,
VolkswagenJetta1.4SEprix initial : 19 257,,18 336 €,,
NissanVersa1.6SV,,15 570 €,,
ChevroletSpark1.41LTprix initial : 13 725,,12 804 €,,
NissanMaximaV6 3.5SV,,21 921 €,,
NissanSentra2.0SV,,18 336 €,,
NissanAltima2.5SRprix initial : 21 101,,NC,,
NissanAltima2.5SVprix initial : 21 101,,20 180 €,,
NissanFrontier2.5Sprix initial : 13 725,,11 882 €,,
JeepGrand cherokeeV6 3.6LIMITEDprix initial : 27 555,,24 789 €,,
NissanVersa1.6SVprix initial : 15 569,,13 726 €,,
ToyotaCorolla1.8LIMITED EDITIONprix initial : 18 335,,16 492 €,,
ToyotaTacomaV6 3.5SR5prix initial : 34 930,,32 165 €,,
JeepWranglerUnlimited2.0SAHARAprix initial : 33 086,,34 931 €,,
JeepCherokee2.4LATITUDEprix initial : 20 467,,21 194 €,,
MazdaCx-52.5GRAND TOURINGprix initial : 24 789,,23 867 €,,
ChevroletTahoeV8 6.2prix initial : 71 285,,71 470 €,,
ChevroletSilverado 1500V6 4.31LTprix initial : 20 271,,19 258 €,,
FordF150V6 3.5XLT,,27 555 €,,
KiaSorentoLX,,23 867 €,,
HyundaiAccentSEprix initial : 15 662,,14 648 €,,
ChevroletSilverado 1500prix initial : 56 271,,54 151 €,,
ChevroletSilverado 2500V8 6.6HIGH COUNTRY,,82 206 €,,
ChevroletSilverado 2500V8 6.6CUSTOMprix initial : 61 438,,61 623 €,,
VolkswagenTiguan2.0SE,,22 024 €, 08.10.2023 ETATS-UNISDétail,ESSENCE94 510 Km2020AUTOMATIQUE99515DEVIS ASSURANCEVENDEZ
FordEscape1.5SELprix initial : 21 101,,22 945 €,,
HyundaiElantraGLSprix initial : 8 296,,6 637 €,,
ChevroletSilverado 2500V8 6.6HIGH COUNTRYprix initial : 81 629,,81 814 €,,
HyundaiElantra2.0GLSprix initial : 8 296,,6 637 €,,
ChevroletTahoePREMIER,,69 427 €,,
KiaSorento2.4LX,,21 194 €,,
KiaSorentoLX,,21 194 €,,
KiaRio1.6Sprix initial : 18 161,,17 516 €,,
KiaRio1.0Sprix initial : 18 161,,17 516 €,,
ChevroletTraxLSprix initial : 21 158,,21 343 €,,
ChevroletTraxprix initial : 22 541,,22 726 €,,
ChevroletTraxprix initial : 24 067,,24 252 €,,
DodgeGrand caravanV6 3.6GTprix initial : 16 491,,15 570 €,,
